station_id,station_name,date,air_temp,average_wave_period,dominant_wave_period,wave_height
21418t,North Tokyo,2010-01-01,NA,NA,NA,39.86490624999974
21418t,North Tokyo,2010-01-02,NA,NA,NA,39.85512499999973
21418t,North Tokyo,2010-01-03,NA,NA,NA,39.8381041666664
21418t,North Tokyo,2010-01-04,NA,NA,NA,39.845145833333
21418t,North Tokyo,2010-01-05,NA,NA,NA,39.8466666666664
21418t,North Tokyo,2010-01-06,NA,NA,NA,39.831677083333055
21418t,North Tokyo,2010-01-07,NA,NA,NA,39.80510416666636
21418t,North Tokyo,2010-01-08,NA,NA,NA,39.815656249999726
21418t,North Tokyo,2010-01-09,NA,NA,NA,39.85514583333304
21418t,North Tokyo,2010-01-10,NA,NA,NA,39.873708333333035
21418t,North Tokyo,2010-01-11,NA,NA,NA,39.913312499999755
21418t,North Tokyo,2010-01-12,NA,NA,NA,39.94369791666639
21418t,North Tokyo,2010-01-13,NA,NA,NA,39.91805208333303
21418t,North Tokyo,2010-01-14,NA,NA,NA,39.915812499999696
21418t,North Tokyo,2010-01-15,NA,NA,NA,39.89679166666636
21418t,North Tokyo,2010-01-16,NA,NA,NA,39.88361458333307
21418t,North Tokyo,2010-01-17,NA,NA,NA,39.87866666666634
21418t,North Tokyo,2010-01-18,NA,NA,NA,39.88804166666639
21418t,North Tokyo,2010-01-19,NA,NA,NA,39.88945833333307
21418t,North Tokyo,2010-01-20,NA,NA,NA,39.88220833333309
21418t,North Tokyo,2010-01-21,NA,NA,NA,39.868135416666405
21418t,North Tokyo,2010-01-22,NA,NA,NA,39.88078124999967
21418t,North Tokyo,2010-01-23,NA,NA,NA,39.90740624999972
21418t,North Tokyo,2010-01-24,NA,NA,NA,39.904468749999744
21418t,North Tokyo,2010-01-25,NA,NA,NA,39.894447916666365
21418t,North Tokyo,2010-01-26,NA,NA,NA,39.913499999999736
21418t,North Tokyo,2010-01-27,NA,NA,NA,39.90263541666636
21418t,North Tokyo,2010-01-28,NA,NA,NA,39.90576041666639
21418t,North Tokyo,2010-01-29,NA,NA,NA,39.901760416666406
21418t,North Tokyo,2010-01-30,NA,NA,NA,39.90214583333307
21418t,North Tokyo,2010-01-31,NA,NA,NA,39.91477083333299
21418t,North Tokyo,2010-02-01,NA,NA,NA,39.92837499999971
21418t,North Tokyo,2010-02-02,NA,NA,NA,39.92674999999975
21418t,North Tokyo,2010-02-03,NA,NA,NA,39.91634374999973
21418t,North Tokyo,2010-02-04,NA,NA,NA,39.90658333333307
21418t,North Tokyo,2010-02-05,NA,NA,NA,39.90928124999971
21418t,North Tokyo,2010-02-06,NA,NA,NA,39.88616666666641
21418t,North Tokyo,2010-02-07,NA,NA,NA,39.84390624999974
21418t,North Tokyo,2010-02-08,NA,NA,NA,39.819260416666374
21418t,North Tokyo,2010-02-09,NA,NA,NA,39.81866666666637
21418t,North Tokyo,2010-02-10,NA,NA,NA,39.83655208333304
21418t,North Tokyo,2010-02-11,NA,NA,NA,39.852020833333064
21418t,North Tokyo,2010-02-12,NA,NA,NA,39.8849374999997
21418t,North Tokyo,2010-02-13,NA,NA,NA,39.91070833333305
21418t,North Tokyo,2010-02-14,NA,NA,NA,39.94045833333306
21418t,North Tokyo,2010-02-15,NA,NA,NA,39.965718749999695
21418t,North Tokyo,2010-02-16,NA,NA,NA,39.96294791666637
21418t,North Tokyo,2010-02-17,NA,NA,NA,39.97249999999972
